relation_id,sentence_id,description,is_true,expectation,words,p1_start,p1_length,p2_start,p2_length,p2_length,features,weights
66878@0_29-66878@0_9,66878@0,Paul Tsongas-Jim Ogonowski,,0.976,"{For,weeks,"","",Republican,farmer,and,Air,Force,veteran,Jim,Ogonowski,has,pounded,a,steady,theme,against,Democrat,Niki,Tsongas,"","",calling,the,wife,of,the,late,former,senator,Paul,Tsongas,a,Washington,insider,who,represents,politics,as,usual,.}",29,2,9,2,2,"{word_between=wife,word_between=senator,num_words_between=18,""word_between=,"",word_between=theme,word_between=Democrat,word_between=Tsongas,word_between=Niki,word_between=has,word_between=former,word_between=the,word_between=calling,word_between=late,word_between=of,word_between=steady,word_between=pounded,word_between=against,word_between=a}","{4.1321,2.04463,-1.90702,-1.39174,-0.981359,0.744019,0.739239,-0.581149,0.493595,0.437364,0.356385,-0.31513,0.21605,0.209585,-0.164826,-0.0980204,-0.0935338,0.0548419}"
NYT_ENG_20080116.0061.LDC2009T13_725_30-NYT_ENG_20080116.0061.LDC2009T13_725_19,NYT_ENG_20080116.0061.LDC2009T13_725,Diane Keaton-Queen Latifah,,0.994,"{MOVIES-QUEEN-LATIFAH,--,-LRB-,undated,-RRB-,Tom,Long,talks,to,actress,"","",singer,-LRB-,Dana,Owens,-RRB-,and,former,rapper,Queen,Latifah,about,her,upcoming,film,``,Mad,Money,'',co-starring,Diane,Keaton,"","",Katie,Holmes,-LRB-,or,Mrs.,Tom,Cruise,-RRB-,and,Ted,Danson,.}",30,2,19,2,2,"{word_between=upcoming,num_words_between=9,word_between=Mad,word_between=film,word_between=co-starring,word_between=her,word_between=Money,word_between=``,word_between=about,word_between=''}","{2.17587,-1.43111,1.3515,1.12791,0.98279,0.550978,-0.349739,-0.300107,0.21003,0.0444401}"
APW_ENG_20080919.0120.LDC2009T13_144_3-APW_ENG_20080919.0120.LDC2009T13_144_7,APW_ENG_20080919.0120.LDC2009T13_144,Christie Brinkley-Peter Cook,t,0.952,"{1996,:,Model,Christie,Brinkley,married,architect,Peter,Cook,in,Bridgehampton,"","",New,York,.}",3,2,7,2,2,"{word_between=married,num_words_between=2,word_between=architect}","{3.39603,-0.845881,0.72258}"
7145@3_19-7145@3_32,7145@3,Shulamit Reinharz-Jehuda Reinharz,,0.92,"{While,the,Carter-Dersho-drama,was,playing,out,"","",some,Brandeis,faculty,members,have,been,grumbling,about,newspaper,columns,published,by,Shulamit,Reinharz,"","",the,opinionated,wife,of,Brandeis,',equally,strong-willed,president,"","",Jehuda,Reinharz,.}",19,2,32,2,2,"{word_between=wife,""word_between=,"",num_words_between=11,word_between=',potential_last_name_match,word_between=the,word_between=of,word_between=president,word_between=strong-willed,word_between=equally,word_between=opinionated,word_between=Brandeis}","{4.1321,-1.39174,-1.13974,0.442984,-0.415994,0.356385,0.209585,-0.094942,0,0,0,0}"
APW_ENG_20080825.0705.LDC2009T13_110_6-APW_ENG_20080825.0705.LDC2009T13_110_25,APW_ENG_20080825.0705.LDC2009T13_110,Cassandra Jade Estevez-Denise Richards,,0.998,"{Sheen,has,three,daughters,:,25-year-old,Cassandra,Jade,Estevez,"","",whose,mother,is,Sheen,'s,former,girlfriend,Paula,Profit,"","",and,two,girls,with,ex-wife,Denise,Richards,.}",6,3,25,2,2,"{word_between=Sheen,word_between=girlfriend,word_between=ex-wife,word_between=Paula,num_words_between=16,word_between=girls,""word_between=,"",word_between=with,word_between=whose,word_between=and,word_between=former,word_between=is,word_between=two,word_between=mother,word_between='s,word_between=Profit}","{-3.48485,3.35926,3.11499,2.75175,-2.04037,2.03494,-1.39174,1.03993,0.730165,0.625537,0.437364,0.290995,0.265512,-0.215437,-0.0329627,0}"
133971@1_22-133971@1_11,133971@1,Sarah Palin-Todd Palin,t,0.944,"{As,``,first,dude,"","",'',the,title,he,prefers,"","",Todd,Palin,reinforces,the,average-family,image,that,his,wife,"","",Gov.,Sarah,Palin,of,Alaska,"","",has,sought,to,project,.}",22,2,11,2,2,"{word_between=wife,word_between=image,num_words_between=9,""word_between=,"",word_between=Gov.,potential_last_name_match,word_between=the,word_between=reinforces,word_between=average-family,word_between=his,word_between=that}","{4.1321,1.64728,-1.43111,-1.39174,-0.652723,-0.415994,0.356385,0.249204,0.249204,0.168154,0.103416}"
148553@28_2-148553@28_11,148553@28,Beth Bye-Tracey Wilson,,0.98,"{State,Rep.,Beth,Bye,and,her,partner,of,seven,years,"","",Tracey,Wilson,"","",paced,the,West,Hartford,Town,Clerk,'s,office,on,Wednesday,morning,.}",2,2,11,2,2,"{word_between=partner,word_between=seven,num_words_between=7,""word_between=,"",word_between=and,word_between=her,word_between=years,word_between=of}","{3.58167,2.24898,-1.74305,-1.39174,0.625537,0.550978,-0.210396,0.209585}"
APW_ENG_20070814.1096.LDC2009T13_13_23-APW_ENG_20070814.1096.LDC2009T13_13_28,APW_ENG_20070814.1096.LDC2009T13_13,Britney Spears-Kevin Federline,t,0.934,"{A,Los,Angeles,court,commissioner,said,Tuesday,he,would,consider,a,motion,by,a,magazine,and,a,TV,station,to,unseal,documents,in,Britney,Spears,',divorce,from,Kevin,Federline,.}",23,2,28,2,2,"{word_between=divorce,num_words_between=3,word_between=from,word_between='}","{2.46861,-0.840691,0.507163,0.442984}"
APW_ENG_20081012.0643.LDC2009T13_434_18-APW_ENG_20081012.0643.LDC2009T13_434_49,APW_ENG_20081012.0643.LDC2009T13_434,Hillary Rodham Clinton-Obama,,0.992,"{Obama,'s,fortunes,got,a,further,boost,Sunday,when,former,President,Bill,Clinton,and,his,wife,"","",Sen.,Hillary,Rodham,Clinton,"","",made,their,first,joint,campaign,appearance,together,on,the,Illinois,senator,'s,behalf,--,setting,aside,hard,feelings,left,over,from,the,Democratic,primary,contest,in,which,Obama,outdistanced,the,former,first,lady,in,a,bitter,"","",extended,race,.}",18,3,49,1,1,"{num_words_between=28,word_between=joint,word_between=left,word_between=senator,word_between=hard,word_between=their,word_between=behalf,""word_between=,"",word_between=feelings,word_between=aside,word_between=appearance,word_between=Illinois,word_between=setting,word_between=Democratic,word_between=--,word_between=campaign,word_between=primary,word_between=from,word_between=over,word_between=the,word_between=which,word_between=on,word_between=contest,word_between=first,word_between=in,word_between=made,word_between='s,word_between=together}","{-3.06264,3.00892,2.09074,2.04463,-1.83472,-1.68572,1.49517,-1.39174,1.05351,1.01871,0.847609,-0.824695,0.733095,0.650308,-0.612218,-0.542848,-0.512006,0.507163,0.488465,0.356385,0.32832,0.308755,-0.288362,0.253295,0.180563,-0.036776,-0.0329627,0.0113841}"
APW_ENG_20071221.1184.LDC2009T13_142_34-APW_ENG_20071221.1184.LDC2009T13_142_15,APW_ENG_20071221.1184.LDC2009T13_142,Kevin Federline-Britney Spears,t,1,"{It,does,not,help,either,that,Spears,is,the,younger,sister,of,tabloid,wild,child,Britney,Spears,"","",the,pop,singer,who,has,been,locked,in,a,bitter,court,battle,for,months,with,ex-husband,Kevin,Federline,over,custody,of,her,two,young,children,.}",34,2,15,2,2,"{word_between=ex-husband,num_words_between=17,""word_between=,"",word_between=battle,word_between=court,word_between=with,word_between=locked,word_between=months,word_between=pop,word_between=who,word_between=has,word_between=been,word_between=the,word_between=in,word_between=bitter,word_between=for,word_between=a,word_between=singer}","{3.39629,-1.64257,-1.39174,1.22415,1.05356,1.03993,-0.979428,0.971273,0.877884,0.520035,0.493595,0.414456,0.356385,0.180563,0.0850597,-0.0635128,0.0548419,-0.00636254}"
